bdipoint,epqpoint,escale,pscale,nscale,lscale,fapoint,famarriage,faattachmentrelation,fafamilyfunction,fachildhoodtrauma,facopingstyle,fapastexperience,fasocialsupport,falifemeaning,falearningmotivation,gender,politicalstatus,religion,residence,fathereducation,mothereducation,brothersistercount,familyrank,parentsmarriage,marriage,isrecommended,isrecommendedbycontest,isartstudent,fathersta,mothersta
0.0,0.15476465,0.15476465,0.07738232,0.0,0.0,0.0,0.30952929,0.07738232,0.0,0.0,0.0,0.0,0.0,0.07738232,0.07738232,0.0,0.15476465,0.07738232,0.15476465,0.54167626,0.54167626,0.0,0.07738232,0.30952929,0.07738232,0.15476465,0.15476465,0.15476465,0.07738232,0.07738232
0.0,0.16963779,0.16963779,0.0,0.08481889,0.0,0.0,0.0,0.08481889,0.0,0.0,0.25445668,0.0,0.0,0.0,0.0,0.0,0.33927557,0.08481889,0.16963779,0.59373225,0.50891336,0.0,0.08481889,0.08481889,0.08481889,0.16963779,0.08481889,0.16963779,0.08481889,0.08481889
0.06711561,0.13423121,0.06711561,0.06711561,0.06711561,0.06711561,0.13423121,0.0,0.40269363,0.0,0.0,0.13423121,0.13423121,0.0,0.13423121,0.13423121,0.06711561,0.20134682,0.06711561,0.13423121,0.53692484,0.53692484,0.0,0.06711561,0.06711561,0.06711561,0.13423121,0.06711561,0.13423121,0.06711561,0.06711561
0.12126781,0.12126781,0.12126781,0.0,0.12126781,0.12126781,0.0,0.0,0.0,0.0,0.36380344,0.0,0.0,0.0,0.12126781,0.0,0.12126781,0.36380344,0.12126781,0.12126781,0.48507125,0.24253563,0.24253563,0.12126781,0.12126781,0.12126781,0.24253563,0.24253563,0.24253563,0.12126781,0.12126781
0.0,0.09578263,0.09578263,0.0,0.0,0.09578263,0.0,0.0,0.09578263,0.0,0.0,0.0,0.0,0.0,0.09578263,0.09578263,0.0,0.28734789,0.09578263,0.19156526,0.57469577,0.57469577,0.0,0.09578263,0.09578263,0.09578263,0.19156526,0.19156526,0.19156526,0.09578263,0.09578263
0.08111071,0.08111071,0.16222142,0.0,0.0,0.0,0.0,0.0,0.08111071,0.0,0.0,0.16222142,0.0,0.0,0.08111071,0.16222142,0.0,0.32444284,0.08111071,0.16222142,0.56777497,0.56777497,0.0,0.08111071,0.08111071,0.08111071,0.16222142,0.16222142,0.16222142,0.08111071,0.08111071
0.0,0.16384638,0.16384638,0.08192319,0.16384638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32769277,0.08192319,0.16384638,0.57346234,0.57346234,0.0,0.08192319,0.08192319,0.08192319,0.16384638,0.16384638,0.16384638,0.08192319,0.08192319
0.0,0.1118034,0.2236068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1118034,0.1118034,0.0,0.4472136,0.1118034,0.2236068,0.3354102,0.3354102,0.3354102,0.3354102,0.1118034,0.1118034,0.2236068,0.2236068,0.2236068,0.1118034,0.1118034
0.0,0.1933473,0.1933473,0.09667365,0.09667365,0.0,0.0,0.0,0.09667365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29002095,0.09667365,0.1933473,0.67671554,0.3866946,0.0,0.09667365,0.09667365,0.09667365,0.1933473,0.1933473,0.1933473,0.09667365,0.09667365
0.08084521,0.16169042,0.16169042,0.0,0.08084521,0.0,0.16169042,0.32338083,0.0,0.0,0.0,0.0,0.16169042,0.08084521,0.16169042,0.24253563,0.0,0.32338083,0.08084521,0.16169042,0.48507125,0.32338083,0.0,0.08084521,0.32338083,0.08084521,0.16169042,0.16169042,0.16169042,0.08084521,0.08084521
0.0,0.16495722,0.16495722,0.0,0.0,0.08247861,0.0,0.0,0.08247861,0.16495722,0.0,0.0,0.0,0.08247861,0.08247861,0.08247861,0.08247861,0.24743583,0.08247861,0.16495722,0.57735027,0.57735027,0.0,0.08247861,0.08247861,0.08247861,0.16495722,0.16495722,0.16495722,0.08247861,0.08247861
0.0,0.0,0.0,0.0,0.0,0.10314212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10314212,0.10314212,0.10314212,0.4125685,0.10314212,0.20628425,0.4125685,0.61885275,0.0,0.10314212,0.10314212,0.10314212,0.20628425,0.20628425,0.20628425,0.10314212,0.10314212
0.0,0.09365858,0.18731716,0.0,0.0,0.09365858,0.0,0.0,0.0,0.0,0.0,0.0,0.18731716,0.0,0.09365858,0.09365858,0.0,0.37463432,0.09365858,0.18731716,0.37463432,0.56195149,0.18731716,0.28097574,0.09365858,0.09365858,0.18731716,0.18731716,0.18731716,0.09365858,0.09365858
0.08908708,0.17817416,0.17817416,0.0,0.17817416,0.0,0.17817416,0.0,0.53452248,0.0,0.0,0.0,0.17817416,0.0,0.17817416,0.17817416,0.08908708,0.26726124,0.08908708,0.17817416,0.35634832,0.35634832,0.0,0.08908708,0.08908708,0.08908708,0.17817416,0.08908708,0.17817416,0.08908708,0.08908708
