id,uid,date,type1,type2,type3,zd0,zd1,zd2,submit_time,status
29,9446,2015-04-16,104,78,103,0,0,0,2015-06-08 13:01:39,1
45,7119,2015-04-16,60,104,104,1,1,1,2015-06-08 19:26:10,1
47,9915,2015-04-24,61,104,104,1,1,1,2015-06-09 10:26:14,1
48,4548,2015-05-14,65,93,104,1,1,1,2015-06-10 15:46:51,1
51,1200,2015-06-05,53,77,104,1,1,1,2015-06-09 13:56:25,1
52,338,2015-06-05,53,77,104,0,1,1,2015-06-09 14:05:00,1
58,2783,2015-04-27,60,104,104,1,1,1,2015-06-09 16:24:57,1
59,10208,2014-10-31,63,104,104,1,1,1,2015-06-09 16:24:40,1
61,1422,2015-05-29,63,104,104,1,1,1,2015-06-09 16:37:04,1
62,9,2015-04-23,60,104,104,1,1,1,2015-06-09 16:22:01,1
63,104,2015-01-07,54,104,104,1,1,1,2015-06-09 16:24:36,1
65,8527,2015-03-23,65,104,104,1,0,1,2015-06-09 16:30:52,1
69,5360,2015-06-09,54,104,104,1,1,1,2015-06-09 16:57:06,1
78,59061,2015-05-15,61,93,104,1,1,1,2015-06-10 16:11:47,1
80,7182,2015-06-10,60,93,103,0,1,1,2015-06-24 11:27:46,1
83,6866,2015-06-10,63,104,104,1,1,1,2015-06-10 16:49:18,1
88,7749,2015-01-06,53,93,104,0,0,1,2015-06-10 17:25:05,1
93,4807,2014-10-31,63,93,104,0,0,1,2015-06-10 17:35:33,1
94,2970,2015-05-14,63,83,104,0,1,1,2015-06-10 17:37:23,1
100,7233,2015-06-10,54,89,104,0,1,1,2015-06-11 09:45:27,1
107,7473,2015-06-10,53,77,103,0,1,1,2015-06-11 11:04:31,1
116,10384,2015-05-07,61,104,104,1,1,1,2015-06-11 16:40:11,1
117,1436,2015-05-08,61,104,104,1,1,1,2015-06-11 15:18:42,1
129,3216,2015-05-06,60,104,104,1,1,1,2015-06-11 16:40:34,1
130,2519,2015-05-04,54,104,104,1,1,1,2015-06-11 16:43:09,1
131,373,2015-04-02,54,104,104,1,1,1,2015-06-11 16:45:50,1
132,335,2015-04-09,60,104,104,1,1,1,2015-06-11 16:48:43,1
133,337,2015-05-11,60,104,104,1,1,1,2015-06-11 16:51:32,1
136,3238,2015-06-11,54,104,104,1,1,1,2015-06-24 11:55:58,1
138,5181,2015-05-20,54,104,104,1,1,1,2015-06-11 17:16:56,1
140,7042,2015-06-11,63,104,104,1,0,1,2015-06-24 17:25:04,1
142,3353,2015-04-09,61,104,104,1,1,1,2015-06-11 21:59:23,1
