id,uid,pid,suggestion_id,starttime,endtime,status
9191,4572,1899,5,2015-12-10 13:37:00,2015-12-10 14:37:00,2
9198,3308,1544,1,2016-11-22 16:00:00,2016-11-22 16:50:00,2
9199,4924,1740,5,2016-11-22 15:00:00,2016-11-22 15:50:00,2
9208,5130,1838,1,2016-11-21 11:00:00,2016-11-21 11:50:00,2
9209,8377,1870,1,2016-11-22 18:00:00,2016-11-22 19:00:00,2
9231,7238,1856,1,2016-11-21 15:00:00,2016-11-21 16:00:00,2
9232,7238,1856,1,2016-11-21 15:00:00,2016-11-21 16:00:00,2
9233,1263,1731,4,2016-11-22 14:00:00,2016-11-22 15:00:00,2
9250,7732,1871,1,2016-11-21 08:30:00,2016-11-21 09:30:00,2
9253,2873,1801,1,2016-11-23 10:00:00,2016-11-23 10:50:00,2
9267,7695,1820,1,2016-11-21 15:00:00,2016-11-21 16:00:00,2
9269,6531,1771,1,2016-11-22 10:00:00,2016-11-22 11:00:00,2
9270,9351,1793,1,2016-11-22 11:00:00,2016-11-22 12:00:00,2
9271,6726,1631,1,2016-11-22 09:00:00,2016-11-22 10:00:00,2
9278,5338,1713,1,2016-11-17 16:00:00,2016-11-24 16:50:00,2
9283,5338,1713,1,2016-11-24 16:00:00,2016-11-24 16:50:00,2
9286,5689,1621,1,2016-11-18 14:00:00,2016-11-18 15:00:00,2
9291,1455,1884,1,2016-11-24 15:00:00,2016-11-24 15:50:00,2
9296,7495,1669,1,2016-11-25 10:00:00,2016-11-25 10:50:00,2
9298,5594,1853,1,2016-11-24 16:05:00,2016-11-24 16:10:00,2
9299,9753,1885,1,2016-11-24 15:00:00,2016-11-24 15:58:00,2
9304,7956,1855,1,2016-11-25 09:00:00,2016-11-25 09:50:00,2
9306,9309,1716,5,2016-11-25 15:00:00,2016-11-25 15:55:00,2
9307,8199,1717,5,2016-11-25 16:00:00,2016-11-25 16:50:00,2
9316,10160,1825,1,2016-11-25 09:00:00,2016-11-25 09:50:00,2
9330,10103,1593,1,2016-11-23 10:30:00,2016-11-23 11:30:00,2
9334,7069,1827,1,2016-11-23 13:00:00,2016-11-23 14:00:00,2
9336,8857,1375,1,2016-11-22 15:00:00,2016-11-22 16:00:00,2
9339,1270,1680,1,2016-11-28 09:30:00,2016-11-28 10:30:00,2
9342,4806,1861,5,2016-11-24 15:00:00,2016-11-24 16:00:00,2
9344,3386,1914,1,2016-11-28 10:30:00,2016-11-28 11:30:00,2
9346,9446,1180,1,2016-11-28 09:00:00,2016-11-28 09:50:00,2
9354,6598,1898,1,2016-11-29 09:30:00,2016-11-29 10:20:00,2
9355,5497,1791,5,2016-11-29 08:35:00,2016-11-29 09:20:00,2
9363,3308,1544,1,2016-11-29 16:00:00,2016-11-29 16:50:00,2
9377,8377,1870,1,2016-11-29 16:00:00,2016-11-29 17:00:00,2
9382,5130,1838,5,2016-11-28 11:00:00,2016-11-28 11:30:00,2
9392,7930,1819,1,2016-11-30 10:30:00,2016-11-30 11:30:00,2
9409,2873,1801,1,2016-11-30 10:00:00,2016-11-30 10:50:00,2
9414,8679,1919,1,2016-11-30 15:00:00,2016-11-30 15:50:00,2
9415,9351,1793,5,2016-11-29 11:00:00,2016-11-29 12:00:00,2
9416,6531,1771,1,2016-11-29 10:00:00,2016-11-29 11:00:00,2
9417,6726,1631,1,2016-11-29 09:00:00,2016-11-29 10:00:00,2
9420,7695,1820,1,2016-11-28 16:00:00,2016-11-28 17:00:00,2
9426,5338,1713,1,2016-12-01 16:00:00,2016-12-01 16:50:00,2
9427,5338,1713,1,2016-12-01 16:00:00,2016-12-01 16:50:00,2
9428,5338,1713,1,2016-12-01 16:00:00,2016-12-01 16:50:00,2
9438,1455,1884,1,2016-12-01 15:00:00,2016-12-01 15:50:00,2
9440,4559,1920,1,2016-12-01 15:20:00,2016-12-01 16:00:00,2
9441,7327,1921,1,2016-12-01 14:00:00,2016-12-01 14:50:00,2
9442,9753,1885,1,2016-12-01 15:00:00,2016-12-01 15:55:00,2
9443,5594,1853,1,2016-12-01 16:00:00,2016-12-01 17:00:00,2
9446,8374,1851,1,2016-12-02 10:00:00,2016-12-02 11:00:00,2
9447,7495,1669,1,2016-12-02 10:00:00,2016-12-02 10:50:00,2
9448,10160,1825,1,2016-12-02 09:00:00,2016-12-02 09:50:00,2
9466,9294,1679,1,2016-10-29 11:00:00,2016-10-29 11:50:00,2
9467,7956,1855,1,2016-12-02 09:00:00,2016-12-02 09:50:00,2
9478,7238,1856,1,2016-11-28 15:00:00,2016-11-28 16:00:00,2
9482,6915,1755,5,2016-12-03 10:00:00,2016-12-03 10:50:00,2
9498,4807,994,1,2016-11-21 19:00:00,2016-11-21 20:00:00,2
9499,7749,588,1,2016-11-28 15:00:00,2016-11-28 16:00:00,2
9500,4807,994,1,2016-11-29 19:00:00,2016-11-29 20:00:00,2
9503,200,1785,5,2016-12-03 19:00:00,2016-12-03 20:00:00,2
9504,200,1785,5,2016-12-03 19:00:00,2016-12-03 20:00:00,2
9505,3171,1777,5,2016-12-03 14:00:00,2016-12-03 14:50:00,2
9514,8140,1724,1,2016-11-18 14:00:00,2016-11-18 15:00:00,2
9515,8140,1724,1,2016-11-25 14:00:00,2016-11-25 15:00:00,2
9516,8140,1724,1,2016-12-02 14:00:00,2016-12-02 15:00:00,2
9524,1270,1680,1,2016-12-05 09:35:00,2016-12-05 11:35:00,2
