id,sid,interview_type,date,type1,type2,type3,suggestion,submitTime,status
170,4815,0,2014-10-31,65,104,104,2,2014-11-04 09:22:22,1
171,10272,0,2014-10-31,54,104,104,2,2014-11-04 09:23:26,1
172,10287,0,2014-10-31,104,104,104,1,2014-11-04 09:24:19,1
173,10347,0,2014-10-31,104,104,104,1,2014-11-04 09:25:05,1
174,10704,0,2014-10-31,104,104,104,1,2014-11-04 09:26:07,1
175,7809,0,2014-10-31,104,104,104,1,2014-11-04 10:18:14,1
176,353,0,2014-10-31,104,104,104,1,2014-11-04 10:19:16,1
177,1390,0,2014-10-31,61,104,104,2,2014-11-04 10:20:11,1
178,9204,0,2014-10-28,53,66,94,1,2014-11-05 21:23:05,1
179,9270,0,2014-10-28,53,66,94,1,2014-11-05 21:34:44,1
180,8015,0,2014-10-28,53,66,94,2,2014-11-05 21:56:25,1
181,8041,0,2014-10-31,63,104,104,2,2014-11-06 08:55:50,1
182,8477,0,2014-10-31,65,104,104,1,2014-11-06 08:56:40,1
183,10001,0,2014-10-31,104,104,104,1,2014-11-06 08:58:45,1
184,3331,0,2014-10-31,63,104,104,2,2014-11-06 08:59:48,1
185,5184,0,2014-10-27,53,66,104,2,2014-11-06 12:06:03,1
186,6696,0,2014-10-27,53,66,95,2,2014-11-06 12:12:35,1
187,78,0,2014-10-27,53,66,94,2,2014-11-06 12:16:57,1
188,7337,0,2014-11-18,53,66,94,1,2014-11-18 16:19:19,1
189,4414,0,2014-11-18,53,66,94,1,2014-11-18 16:22:09,1
190,1235,0,"2014,10,31",53,66,94,1,2014-11-19 11:12:39,1
191,8622,0,2014-11-19,53,66,94,1,2014-11-19 15:02:17,1
192,2687,0,2014-11-19,53,66,94,1,2014-11-19 15:05:04,1
193,1889,0,2014-11-19,53,66,94,1,2014-11-19 16:26:04,1
194,51,0,2014-11-20,53,66,94,1,2014-11-20 11:29:13,1
195,4649,0,2014-11-20,65,66,104,2,2014-11-20 11:40:58,1
196,2455,0,2014-11-20,53,66,94,1,2014-11-20 13:40:19,1
197,2807,0,2014-11-21,104,104,104,1,2014-11-21 09:44:12,1
198,1253,0,2014-11-21,63,74,95,2,2014-11-21 11:53:07,1
199,3256,0,2014-11-24,63,66,94,2,2014-11-24 11:17:47,1
200,8146,0,2014-11-21,104,104,104,1,2014-11-24 15:20:18,1
201,5928,0,2014-11-21,54,104,104,1,2014-11-24 15:23:55,1
202,2778,0,2014-11-21,61,104,104,2,2014-11-24 15:27:28,1
203,7855,0,2014-11-21,104,104,104,1,2014-11-24 15:29:27,1
204,4982,0,2014-11-21,61,83,104,2,2014-11-24 15:33:44,1
205,202,0,2014-11-21,104,104,104,1,2014-11-24 15:36:02,1
206,3306,0,2014-11-25,53,66,94,1,2014-11-25 15:23:39,1
207,5815,0,2014-11-25,53,66,94,2,2014-11-25 16:03:48,1
208,10299,0,2014-11-24,53,66,94,1,2014-11-26 09:05:19,1
209,10057,0,2014-11-24,53,66,94,1,2014-11-26 09:10:30,1
210,9952,0,2014-11-24,53,66,94,1,2014-11-26 09:25:01,1
211,2585,0,2014-11-20,53,66,94,1,2014-11-26 09:28:48,1
212,173,0,2014-11-20,53,66,94,1,2014-11-26 09:31:48,1
213,4498,0,2014-11-19,53,66,94,1,2014-11-26 09:34:37,1
214,9875,0,2014-11-28,61,104,104,2,2014-11-28 17:51:07,1
215,9632,0,2014-11-28,104,104,104,1,2014-11-28 18:00:00,1
216,9429,0,2014-11-28,104,104,104,1,2014-11-28 18:09:25,1
219,2770,0,2014-11-25,64,104,104,1,2014-12-01 10:03:57,1
220,9620,0,2014-11-26,54,93,104,1,2014-12-01 23:29:30,1
221,3372,0,2014-11-26,63,73,95,2,2014-12-01 23:33:18,1
222,2647,0,2014-11-26,53,66,94,1,2014-12-02 10:01:00,1
223,1883,0,2014-11-26,53,66,94,1,2014-12-02 10:02:26,1
224,3314,0,2014-11-26,53,66,94,1,2014-12-02 10:04:54,1
225,10696,0,2014-12-2,104,104,104,1,2014-12-07 09:31:06,1
226,5471,0,2014-12-2,104,104,104,1,2015-01-02 09:27:32,1
227,9080,0,2014-11-25,53,66,94,1,2014-12-08 14:45:47,1
228,1752,0,2014-11-27,53,66,94,1,2014-12-08 14:56:29,1
230,8339,0,2014-11-28,53,66,94,1,2014-12-08 15:10:52,1
231,10336,0,2014-12-1,53,66,94,1,2014-12-08 15:16:52,1
232,5851,0,2014-12-2,53,66,94,1,2014-12-08 15:55:13,1
233,7180,0,2014-12-2,53,66,94,1,2014-12-08 16:00:06,1
234,3175,0,2014-12-3,53,66,94,1,2014-12-08 16:03:18,1
235,8217,0,2014-12-4,53,66,94,1,2014-12-08 16:06:18,1
236,2519,0,2014-12-4,61,66,94,2,2014-12-08 16:11:56,1
237,9920,0,2014-12-4,53,66,94,1,2014-12-08 16:17:37,1
238,4589,0,2014-11-27,65,66,94,2,2014-12-11 09:59:39,1
239,1267,0,2014-11-27,65,80,95,2,2014-12-11 10:33:57,1
241,6711,0,2014-12-12,104,104,104,1,2014-12-15 11:32:09,1
242,3191,0,2014-12-16,53,66,94,1,2014-12-16 15:55:27,1
247,9947,0,2014-12-19,60,104,104,2,2014-12-19 11:38:48,1
248,8734,0,2014-12-19,104,104,104,1,2014-12-19 18:24:27,0
249,8734,0,2014-12-19,104,104,104,1,2014-12-19 18:24:19,1
253,7268,0,2014-12-26,61,104,104,2,2014-12-26 14:48:05,1
254,8654,0,2014-12-26,54,104,104,2,2014-12-26 16:54:47,1
255,8887,0,2014-12-30,63,73,94,5,2014-12-30 17:31:15,1
258,9195,0,2014-11-28,63,104,94,2,2015-01-06 10:06:16,1
259,5893,0,2015-1-6,53,66,94,1,2015-01-06 14:23:37,1
260,5809,0,2015-1-6,53,66,94,1,2015-01-06 14:25:11,1
261,5458,0,2015-1-6,53,66,94,2,2015-01-06 14:28:02,1
262,7865,0,2015-1-6,53,66,94,1,2015-01-06 14:29:26,1
263,9963,0,2015-1-6,53,66,94,1,2015-01-06 14:31:30,1
264,6173,0,2015-1-9,63,104,104,2,2015-01-09 12:31:35,1
270,6173,0,2015-1-9,63,83,104,2,2015-01-20 10:31:11,1
271,6173,0,2015-1-9,63,82,104,2,2015-01-20 10:32:35,1
272,8527,0,2015-3-6,63,104,94,2,2015-03-06 10:57:33,1
275,876,0,2015-3-10,60,66,94,2,2015-03-11 21:39:01,1
276,9748,0,2015-3-12,54,66,94,2,2015-03-12 16:40:48,1
278,8844,0,2015-3-13,63,104,104,2,2015-03-13 12:22:25,1
282,5180,0,2015-3-31,60,66,94,2,2015-03-31 14:42:16,1
292,1288,0,2015-4-10,54,66,94,2,2015-04-09 14:38:44,1
295,1412,0,2015-4-9,65,89,103,2,2015-04-13 10:52:57,1
296,10384,0,2015-4-9,60,104,103,2,2015-04-13 10:57:24,0
297,10384,0,2015-4-9,60,66,94,2,2015-04-13 10:57:10,0
300,4557,0,2015-4-13,63,66,94,2,2015-04-13 16:08:30,1
303,9200,0,2015-4-15,63,66,94,2,2015-04-14 15:35:07,1
304,7138,0,2015-4-16,60,66,94,2,2015-04-16 15:01:18,1
306,7119,0,2015-4-16,61,66,94,2,2015-04-16 15:48:58,1
308,2650,0,2015-4-16,63,74,104,2,2015-04-17 19:19:34,1
309,9446,0,2015-4-16,65,78,103,2,2015-04-17 19:22:39,1
310,4694,0,2015-4-16,63,87,94,2,2015-04-17 19:25:16,1
312,2802,0,2015-4-21,61,66,94,2,2015-04-20 14:41:48,1
314,6866,0,2015-4-20,63,66,94,2,2015-04-20 14:48:00,1
316,337,0,2015-4-23,60,66,94,2,2015-04-23 16:59:06,1
317,2783,0,2015-4-27,60,66,94,2,2015-04-27 14:16:16,1
330,8588,0,2015-5-7,61,66,94,2,2015-05-07 14:53:52,1
337,1200,0,2015-5-22,63,83,104,2,2015-05-22 19:24:28,1
341,10275,0,2015-6-5,65,104,104,2,2015-06-05 18:38:42,1
347,3363,0,2015-06-18 16:28:00,63,104,104,1,2015-06-18 16:33:04,1
349,8460,0,2015-06-19 10:30:00,55,78,104,1,2015-06-19 15:21:51,1
351,10275,0,2015-06-05 09:00:00,65,104,104,1,2015-06-23 21:45:01,1
355,1120,0,2015-06-29 12:48:00,60,76,104,2,2015-06-30 12:55:35,1
356,5682,0,2015-06-30 14:30:00,61,104,104,1,2015-06-30 15:33:35,1
357,6106,0,2015-06-30 16:30:00,65,104,104,1,2015-07-01 13:46:53,1
360,8438,0,2015-07-08 15:00:00,63,104,104,1,2015-07-09 06:57:21,1
516,5281,0,2015-10-15 09:05:00,54,83,104,1,2015-10-16 15:27:29,1
525,8286,0,2015-10-19 10:00:00,57,83,104,4,2015-10-19 11:39:36,1
528,4800,0,2015-10-20 10:00:00,60,104,104,1,2015-10-20 10:04:17,0
543,5338,0,2015-10-26 16:05:00,60,104,95,1,2015-10-30 11:58:03,1
556,9860,0,2015-12-22 14:00:00,63,104,104,1,2015-12-22 14:43:10,1
557,1670,0,2015-12-24 11:40:00,53,74,94,1,2015-12-24 11:38:40,1
558,1670,0,2015-12-24 11:40:00,53,74,94,1,2015-12-24 11:38:40,1
561,7304,0,2016-03-01 09:00:00,53,93,103,1,2016-03-01 09:18:20,1
563,8921,0,2016-03-29 00:00:00,64,104,104,5,2016-03-29 13:55:54,1
570,3387,0,2016-06-10 11:00:00,63,78,104,2,2016-06-10 14:07:20,1
574,4600,2,2016-09-22 13:30:00,63,74,95,4,2016-09-22 14:18:23,1
760,8286,2,2016-12-01 15:00:00,63,93,103,4,2016-12-01 16:27:34,1
