id,sid,interview_type,date,type1,type2,type3,suggestion,submitTime,status
42,6864,0,2014-10-27,63,74,95,2,2014-11-05 13:47:03,1
44,7956,0,2014-10-27,61,104,104,1,2014-10-27 19:06:53,1
45,7956,0,2014-10-27,53,66,94,1,2014-10-27 20:42:31,1
46,7312,0,2014-10-28,54,104,104,1,2014-10-28 09:20:04,1
47,4497,0,2014-10-28,54,104,104,2,2014-10-28 09:47:54,1
48,4579,0,2014-10-28,65,93,104,2,2014-10-28 09:57:21,1
49,3238,0,2014-10-28,61,104,104,1,2014-10-28 10:05:45,1
50,3321,0,2014-10-28,53,66,94,2,2014-10-28 10:15:37,1
51,9453,0,2014-10-28,104,104,104,1,2014-10-28 11:08:07,1
52,7375,0,2014-10-28,63,66,94,2,2014-10-28 11:34:59,1
53,6436,0,2014-10-28,53,66,94,1,2014-10-28 11:38:56,1
54,9956,0,2014-10-28,53,66,94,1,2014-10-28 11:46:37,1
55,4635,0,2014-10-28,53,66,94,1,2014-10-28 11:54:34,1
56,10055,0,2014-10-28,61,104,104,1,2014-10-28 13:52:27,1
57,7181,0,2014-10-28,63,93,104,2,2014-10-28 14:00:55,1
58,8402,0,2014-10-28,65,93,104,2,2014-10-28 14:41:35,1
59,9155,0,2014-10-28,53,66,94,1,2014-10-28 15:18:30,1
60,5692,0,2014-10-28,61,66,94,1,2014-10-28 15:24:32,1
61,7582,0,2014-10-28,53,66,94,1,2014-10-28 15:45:42,1
62,3358,0,2014-10-28,53,66,94,2,2014-10-28 15:51:30,1
63,9656,0,2014-10-28,65,104,104,1,2014-10-28 15:55:02,1
64,7495,0,2014-10-28,62,104,104,2,2014-10-28 16:15:27,1
65,8453,0,2014-10-28,62,104,104,2,2014-10-28 16:24:30,1
66,5258,0,2014-10-28,65,93,104,2,2014-10-28 17:00:38,1
67,2367,0,2014-10-29,104,104,104,1,2014-10-29 09:41:04,1
68,7573,0,2014-10-29,53,66,94,1,2014-10-29 10:01:47,1
69,7145,0,2014-10-29,53,66,94,1,2014-10-29 10:49:38,1
70,6193,0,2014-10-29,60,104,104,2,2014-10-29 11:37:12,1
71,7159,0,2014-10-28,104,104,104,1,2014-10-29 13:11:31,1
72,6610,0,2014-10-29,61,104,104,2,2014-10-29 17:09:13,1
73,6571,0,2014-10-29,104,104,104,1,2014-10-29 17:18:44,1
74,308,0,2014-10-29,63,104,104,2,2014-10-29 17:47:41,1
75,7970,0,2014-10-29,63,66,104,1,2014-10-29 20:02:36,1
76,10709,0,2014-10-29,53,66,104,1,2014-10-29 20:17:38,1
77,5614,0,2014-10-29,58,66,104,2,2014-10-29 20:29:13,1
78,2536,0,2014-10-30,53,66,94,1,2014-10-30 09:40:45,1
79,6230,0,2014-10-30,53,66,94,1,2014-10-30 09:51:08,1
80,8704,0,2014-10-29,53,66,94,1,2014-10-30 09:58:36,1
81,9372,0,2014-10-29,53,66,94,1,2014-10-30 10:00:50,1
82,9291,0,2014-10-30,53,66,94,1,2014-10-30 10:01:37,1
83,4937,0,2014-10-29,53,66,94,1,2014-10-30 10:02:42,1
84,6634,0,2014-10-29,53,66,94,1,2014-10-30 10:03:57,1
85,324,0,2014-10-29,53,66,94,1,2014-10-30 10:05:19,1
86,63,0,2014-10-29,53,66,94,1,2014-10-30 10:06:25,1
87,8177,0,2014-10-29,53,66,94,1,2014-10-30 10:07:36,1
88,5995,0,2014-10-29,53,66,94,1,2014-10-30 10:09:31,1
89,6456,0,2014-10-30,53,66,94,1,2014-10-30 10:10:14,1
90,6719,0,2014-10-29,53,66,94,1,2014-10-30 10:10:32,1
91,9419,0,2014-10-29,53,66,94,1,2014-10-30 10:11:34,1
92,7525,0,2014-10-29,53,66,94,1,2014-10-30 10:12:40,1
93,9980,0,2014-10-29,53,66,94,1,2014-10-30 10:14:42,1
94,3350,0,2014-10-30,53,66,95,5,2014-10-30 10:15:15,1
95,7185,0,2014-10-29,53,66,94,1,2014-10-30 10:15:53,1
96,4983,0,2014-10-29,53,66,94,1,2014-10-30 10:16:59,1
97,1235,0,2014-10-30,63,73,104,2,2014-10-30 10:28:30,1
98,6213,0,2014-9-19,53,66,104,5,2014-10-30 10:31:00,1
99,10762,0,2014-10-30,53,66,94,5,2014-10-30 10:34:55,1
100,6568,0,2014-10-30,104,104,104,1,2014-10-30 10:38:59,1
101,8044,0,,54,66,94,2,2014-10-30 10:39:02,1
102,5095,0,2014-10-30,63,104,104,2,2014-10-30 10:40:33,1
103,7967,0,2014-10-30,53,66,94,1,2014-10-30 10:44:29,1
104,8830,0,2014-9-26,53,81,94,2,2014-10-30 10:49:04,1
105,2588,0,2014-10-30,53,66,94,1,2014-10-30 10:51:36,1
106,6215,0,2014-9-26,60,66,94,2,2014-10-30 10:51:47,1
107,3240,0,,64,66,94,2,2014-10-30 10:56:58,1
108,5990,0,2014-10-30,53,66,94,1,2014-10-30 11:09:38,1
109,8631,0,2014-10-30,63,66,104,5,2014-10-30 11:33:46,1
110,4356,0,2014-10-30,63,104,104,1,2014-10-30 11:37:16,1
111,3317,0,2014-10-30,63,80,104,2,2014-10-30 11:50:14,1
112,9615,0,2014-10-30,104,66,94,1,2014-10-30 12:07:01,1
113,5571,0,2014-10-28,65,104,104,1,2014-10-30 12:45:11,1
114,5718,0,2014-10-28,65,104,104,1,2014-10-30 13:04:52,1
115,2559,0,2014-10-30,53,66,94,1,2014-10-30 13:52:14,1
116,9191,0,2014-10-30,104,104,104,1,2014-10-30 13:59:44,1
117,7569,0,2014-10-30,54,104,104,1,2014-10-30 14:22:52,1
118,1460,0,2014-10-30,104,104,104,1,2014-10-30 14:42:35,1
119,1111,0,2014-10-30,65,104,104,2,2014-10-30 14:44:39,1
120,7399,0,2014-10-30,63,104,104,1,2014-10-30 14:49:27,1
121,2513,0,2014-10-30,53,66,94,1,2014-10-30 14:58:56,1
122,8457,0,2014-10-30,104,104,104,1,2014-10-30 15:34:01,1
123,210,0,2014-10-30,65,104,104,1,2014-10-30 15:51:26,1
124,367,0,2014-10-30,104,104,104,1,2014-10-30 15:51:42,1
125,10526,0,2014-10-30,65,104,104,1,2014-10-30 15:55:24,1
126,7797,0,2014-10-30,63,104,104,2,2014-10-30 16:02:38,1
127,6695,0,2014-10-30,65,104,104,2,2014-10-30 16:06:49,1
128,4788,0,2014-10-30,65,104,104,1,2014-10-30 16:20:56,1
129,1444,0,2014-10-30,53,66,94,1,2014-10-30 16:40:04,1
130,191,0,2014-10-30,63,85,104,2,2014-10-30 16:54:28,1
131,1214,0,2014-10-30,65,104,104,2,2014-10-30 17:42:00,1
132,10403,0,2014-10-31,104,104,104,1,2014-10-31 09:33:17,1
133,9546,0,2014-10-31,104,104,104,1,2014-10-31 10:50:11,1
134,4649,0,2014-10-31,65,104,104,2,2014-10-31 10:51:55,1
135,7706,0,,63,101,95,2,2015-01-07 16:42:43,1
136,1741,0,2014-10-31,61,74,95,2,2014-10-31 11:44:07,1
137,3171,0,2014-10-31,65,104,104,2,2014-10-31 13:38:34,1
138,10700,0,2014-10-31,104,104,104,1,2014-10-31 13:52:49,1
139,4397,0,2014-10-31,104,104,104,1,2014-10-31 14:26:25,1
140,1276,0,2014-10-31,104,104,104,1,2014-10-31 14:37:41,1
141,10208,0,2014-10-31,63,104,104,2,2014-10-31 14:40:40,1
142,2805,0,2014-10-31,104,104,104,1,2014-10-31 15:28:21,1
143,10281,0,2014-10-31,65,104,104,1,2014-10-31 15:51:50,1
144,4612,0,2014-10-31,104,104,104,1,2014-10-31 16:34:20,1
145,10689,0,2014-10-31,104,104,104,1,2014-10-31 16:51:14,1
146,10644,0,2014-10-31,104,104,104,1,2014-10-31 17:04:54,1
147,10611,0,2014-10-31,61,77,104,2,2014-10-31 17:19:47,1
148,4807,0,2014-10-31,60,104,95,2,2014-10-31 17:34:29,1
149,1686,0,2014-10-29,63,104,104,2,2014-11-02 09:43:21,1
150,7534,0,2014-10-29,104,104,104,1,2014-11-02 09:44:03,1
151,6583,0,2014-10-29,54,104,104,1,2014-11-02 09:45:01,1
152,6447,0,2014-11-12,56,67,97,3,2014-11-02 13:25:11,0
153,2375,0,2014-11-3,56,66,94,1,2014-11-03 11:55:29,1
154,10751,0,2014-11-3,104,66,94,1,2014-11-03 12:08:26,1
155,1142,0,2014-11-3,104,66,94,1,2014-11-03 12:23:32,1
156,10261,0,2014-10-30,53,66,104,1,2014-11-03 12:50:26,1
157,7455,0,2014-11-3,104,66,94,1,2014-11-03 12:51:47,1
158,2810,0,2014-10-30,63,66,94,2,2014-11-03 13:01:42,1
159,8798,0,2014-10-30,53,66,104,1,2014-11-03 13:18:29,1
160,10488,0,2014-10-30,63,74,103,2,2014-11-03 13:24:35,1
161,3319,0,2014-10-30,53,66,94,1,2014-11-03 13:29:57,1
162,3366,0,2014-10-30,53,66,94,1,2014-11-03 13:34:35,1
163,4408,0,2014-10-30,53,66,94,2,2014-11-03 13:39:41,1
164,9992,0,2014-10-31,104,104,104,1,2014-11-04 09:12:31,1
165,3286,0,2014-10-31,104,104,104,1,2014-11-04 09:15:12,1
166,10777,0,2014-10-31,65,104,104,2,2014-11-04 09:17:54,1
167,7530,0,2014-10-31,104,104,104,1,2014-11-04 09:18:55,1
168,9406,0,2014-10-31,65,104,104,1,2014-11-04 09:19:59,1
169,10221,0,2014-10-31,104,104,104,1,2014-11-04 09:20:50,1
