id,uid,date,type1,type2,type3,zd0,zd1,zd2,submit_time,status
527,62291,2015-10-27,61,104,104,1,1,1,2015-10-27 10:24:13,1
531,66957,2015-10-27,60,104,104,1,0,0,2015-10-27 16:41:18,1
534,61608,2015-10-28,54,104,104,1,0,1,2015-10-28 15:27:15,1
535,68512,2015-10-28,64,104,104,1,1,1,2015-10-28 15:59:10,1
536,59590,2015-10-28,61,104,104,1,1,1,2015-10-29 07:48:20,1
538,63298,2015-10-28,54,104,104,1,1,1,2015-10-29 07:57:08,1
539,61853,2015-10-28,61,104,104,1,1,1,2015-10-29 08:00:42,1
540,61102,2015-10-29,53,104,104,0,0,0,2015-10-29 10:00:39,1
543,61980,2015-10-29,65,104,104,1,1,1,2015-10-29 14:29:22,1
544,65156,2015-10-29,53,104,104,1,1,1,2015-10-29 17:13:06,1
545,67181,2015-10-29,53,104,104,1,0,1,2015-10-29 17:16:50,1
546,60790,2015-10-30,53,104,104,0,1,1,2015-10-30 08:49:36,1
548,62712,2015-10-30,65,104,104,1,1,1,2015-10-30 09:22:56,1
549,59574,2015-10-30,54,104,104,1,1,1,2015-10-30 10:48:31,1
551,67183,2015-10-30,60,104,104,0,1,1,2015-10-30 15:29:03,1
553,68090,2015-11-02,53,74,95,0,0,0,2015-11-02 10:14:09,1
554,61858,2015-11-02,53,93,104,1,1,1,2015-11-02 15:04:23,1
555,67966,2015-11-02,61,104,104,1,1,1,2015-11-02 15:54:12,1
557,59690,2015-11-02,53,104,104,0,1,1,2015-11-02 16:35:32,1
558,62634,2015-11-02,53,93,104,0,1,1,2015-11-02 16:37:38,1
559,65553,2015-11-02,53,74,104,0,0,1,2015-11-02 19:58:55,1
562,61285,2015-11-03,63,104,94,1,0,1,2015-11-03 15:54:50,1
563,61891,2015-11-04,53,77,95,0,0,0,2015-11-04 08:56:58,1
564,68598,2015-11-04,60,104,104,1,0,1,2015-11-04 16:39:52,1
565,66835,2015-11-04,63,104,104,1,1,1,2015-11-04 16:42:50,1
566,65492,2015-11-04,63,74,104,0,0,1,2015-11-04 16:47:06,1
568,60541,2015-11-05,53,104,104,0,0,0,2015-11-05 11:03:21,1
572,63286,2015-11-05,54,104,104,1,0,1,2015-11-06 13:29:08,1
574,62309,2015-11-06,53,104,104,0,1,1,2015-11-06 14:49:49,1
578,65553,2015-11-09,53,83,104,0,0,0,2015-11-09 11:02:08,1
586,68436,2015-11-10,61,104,104,1,1,1,2015-11-10 14:26:07,1
587,62826,2015-11-10,63,104,104,1,1,1,2015-11-10 14:28:19,1
