bdipoint,epqpoint,escale,pscale,nscale,lscale,fapoint,famarriage,faattachmentrelation,fafamilyfunction,fachildhoodtrauma,facopingstyle,fapastexperience,fasocialsupport,falifemeaning,falearningmotivation,gender,politicalstatus,religion,residence,fathereducation,mothereducation,brothersistercount,familyrank,parentsmarriage,marriage,isrecommended,isrecommendedbycontest,isartstudent,fathersta,mothersta
0.07216878,0.14433757,0.14433757,0.0,0.14433757,0.0,0.14433757,0.0,0.4330127,0.0,0.0,0.14433757,0.0,0.0,0.14433757,0.14433757,0.07216878,0.28867513,0.07216878,0.14433757,0.50518149,0.4330127,0.0,0.07216878,0.07216878,0.14433757,0.14433757,0.14433757,0.14433757,0.07216878,0.07216878
0.10153462,0.10153462,0.10153462,0.0,0.10153462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10153462,0.10153462,0.10153462,0.40613847,0.10153462,0.20306923,0.40613847,0.6092077,0.0,0.10153462,0.10153462,0.10153462,0.20306923,0.20306923,0.20306923,0.10153462,0.10153462
0.0,0.1672484,0.0,0.0836242,0.1672484,0.0836242,0.1672484,0.2508726,0.41812101,0.3344968,0.41812101,0.1672484,0.1672484,0.0,0.0,0.0,0.0,0.1672484,0.0836242,0.0836242,0.1672484,0.1672484,0.1672484,0.1672484,0.2508726,0.0836242,0.1672484,0.1672484,0.1672484,0.0836242,0.0836242
0.0,0.0949158,0.1898316,0.0,0.0,0.1898316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0949158,0.1898316,0.0949158,0.1898316,0.5694948,0.5694948,0.0,0.0949158,0.1898316,0.0949158,0.1898316,0.1898316,0.1898316,0.0949158,0.0949158
0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5,0.125,0.125,0.5,0.125,0.25,0.25,0.125,0.125,0.25,0.25,0.25,0.125,0.125
0.07856742,0.15713484,0.15713484,0.0,0.07856742,0.0,0.0,0.0,0.07856742,0.0,0.0,0.0,0.15713484,0.0,0.15713484,0.15713484,0.07856742,0.31426968,0.07856742,0.15713484,0.62853936,0.47140452,0.0,0.07856742,0.07856742,0.07856742,0.15713484,0.15713484,0.15713484,0.07856742,0.07856742
0.0,0.23904572,0.11952286,0.0,0.11952286,0.11952286,0.0,0.0,0.0,0.0,0.0,0.0,0.23904572,0.0,0.0,0.0,0.11952286,0.35856858,0.11952286,0.23904572,0.35856858,0.35856858,0.35856858,0.11952286,0.11952286,0.11952286,0.23904572,0.23904572,0.23904572,0.11952286,0.11952286
0.09325048,0.09325048,0.09325048,0.0,0.0,0.09325048,0.09325048,0.4662524,0.09325048,0.27975144,0.0,0.0,0.0,0.0,0.0,0.0,0.09325048,0.37300192,0.09325048,0.18650096,0.27975144,0.27975144,0.0,0.09325048,0.37300192,0.09325048,0.18650096,0.18650096,0.18650096,0.18650096,0.09325048
0.0,0.09325048,0.09325048,0.0,0.0,0.09325048,0.0,0.0,0.09325048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09325048,0.37300192,0.09325048,0.18650096,0.55950288,0.55950288,0.0,0.09325048,0.09325048,0.09325048,0.18650096,0.18650096,0.18650096,0.09325048,0.09325048
0.10482848,0.10482848,0.0,0.0,0.0,0.10482848,0.0,0.0,0.0,0.0,0.0,0.0,0.52414242,0.0,0.10482848,0.10482848,0.0,0.20965697,0.10482848,0.20965697,0.41931393,0.41931393,0.0,0.10482848,0.10482848,0.20965697,0.20965697,0.20965697,0.20965697,0.10482848,0.10482848
